,name,age,anual_salary,credit_card_number,credit_score,credit_limitation,transaction_status,partial_payment,credit_balance
45,Ronald Araujo,42,2364100,8797829575407273,311,4154506,2872201,2873,2869328
46,Paulo Dybala,69,2199100,4000480226083459,426,4643470,2951354,295136,2656218
47,İlkay Gündoğan,67,1656600,4288716083619315,414,4701764,4400930,4401,4396529
48,Sergej Milinković-Savić,44,1500400,6709762089548023,281,3311206,1338612,13387,1325225
49,Khvicha Kvaratskhelia,33,633200,3591363299119560,105,1076951,710017,710017,0
50,Andrew Robertson,62,3084500,7643785360768179,482,6183602,4829841,483,4829358
51,Parejo,53,3362900,4123460493977796,484,6575588,2054688,20547,2034141
52,Sadio Mané,52,370700,3508006473351870,200,1585678,266838,26684,240154
53,Toni Kroos,22,2527700,4293937177692182,192,3486533,213587,0,213587
54,Éder Militão,32,1647700,9375034120414086,160,2298026,2227698,223,2227475
55,Christopher Nkunku,64,4424100,3230663375275804,641,8962682,3370985,33710,3337275
56,N'Golo Kanté,31,4078000,9732990846383215,408,6402546,4058233,0,4058233
57,João Cancelo,51,3329200,6299259404062433,453,6178721,1625866,16259,1609607
58,Cristiano Ronaldo,33,3214700,4215159387556238,361,5269894,4971512,498,4971014
59,Trent Alexander-Arnold,35,4374200,7948510010414761,383,6087523,654855,6549,648306
60,Wojciech Szczęsny,23,3785400,3065334220640214,304,5102061,1223288,0,1223288
61,Jack Grealish,67,1181700,3539375590444341,349,3521286,10174,10174,0
62,Marcos Acuña,55,3701000,5927555392210663,492,6709302,6260520,6260520,0
63,David Alaba,36,2832900,9843343211100033,345,4800779,2126049,212605,1913444
64,Iago Aspas,55,3544900,5977773189004553,457,6712809,6041689,6042,6035647
65,Alessandro Bastoni,38,4209100,9852500212876457,428,6648746,4715874,0,4715874
66,Domenico Berardi,65,3253200,5480001129338880,495,6015460,1227703,1227703,0
67,Yassine Bounou,61,4634000,9787271568083272,611,8562039,6431111,643112,5787999
68,Hakan Çalhanoğlu,43,1183200,8185348693456232,220,2513169,924456,925,923531
69,Kingsley Coman,63,4788900,4740420671631355,698,9799811,4632514,0,4632514
70,Giovanni Di Lorenzo,45,665000,7750247246800818,196,1843548,1504627,151,1504476
71,Phil Foden,51,4544900,4644264576049228,504,7506313,3203402,321,3203081
72,Leon Goretzka,56,2418700,7551459417373232,380,5009587,3169534,3170,3166364
73,Theo Hernández,51,1998500,3274292067393454,336,4059578,267035,0,267035
74,Ciro Immobile,43,848800,7256250042391471,171,1856731,854967,0,854967
75,Jules Koundé,70,427700,4893319988888596,261,2067156,194597,0,194597
76,Aymeric Laporte,69,4532400,5459713544933093,662,9113667,6513353,0,6513353
77,Emiliano Martínez,28,1641200,8038849019652147,186,2342559,1645450,16455,1628995
78,Keylor Navas,52,2928300,5334310175989426,380,5093420,4047305,0,4047305
79,André Onana,34,959500,4458476644991970,153,1646127,1285401,129,1285272
80,Thomas Partey,44,2337000,8040596603009564,309,4008668,3097594,0,3097594
81,Marcus Rashford,35,2247700,9775902334583956,246,3575400,254091,25410,228681
82,Declan Rice,37,4984700,6765369114539968,450,7853143,217169,0,217169
83,Antonio Rüdiger,37,2779100,5655658228563070,333,4638698,4487754,0,4487754
84,Rodrygo,37,1500000,3588860656754098,204,2691122,1701087,1701087,0
85,John Stones,62,1597400,3975124157514517,392,4280262,576155,57616,518539
86,Diogo Jota,69,2236500,3596795839897221,496,5875550,5121690,0,5121690
87,Kevin Trapp,34,1204300,4190278801192156,198,2203032,1661984,1662,1660322
88,Kieran Trippier,29,2818600,7554578949934156,247,3913536,327427,327427,0
89,Raphaël Varane,66,3857500,5497389465722712,648,8020916,253259,2533,250726
90,Florian Wirtz,23,4966100,4871215404604145,442,7606013,740191,0,740191
91,Thiago,51,2023300,5675887067017500,375,4478886,1542883,15429,1527454
92,Ismaël Bennacer,61,4464900,6059954258902749,619,8210481,6293733,6293733,0
93,Julian Brandt,40,1547000,6101826912225187,232,2739338,1669452,0,1669452
94,Yannick Carrasco,57,646900,9906797474890459,276,2280976,613594,0,613594
95,Koen Casteels,28,4821700,5909409931066884,385,6932981,4258771,4258771,0
96,Federico Chiesa,61,706400,9917568885615037,320,3011629,1169580,0,1169580
97,Thiago Silva,56,3230400,4743399388018140,442,5528659,3077239,307724,2769515
98,Rúben Neves,62,3371900,6856432136717350,457,6097426,5178828,5179,5173649
99,Rodrigo Javier De Paul,32,2805500,5504980940530573,265,4478803,4033373,4033373,0
100,Memphis Depay,37,550500,3121181552079423,144,1323340,342439,3425,339014
101,Moussa Diaby,26,2650600,7690766530492519,234,3639715,2231976,22320,2209656
102,Raphinha,47,1982200,3411228813976767,321,3666342,306093,306093,0
103,Luis Díaz,59,3911400,7495320678001480,512,6783747,2945716,0,2945716
104,Gabriel,30,2241800,7480376597002510,268,3611947,2110030,21101,2088929
105,Gabriel Jesus,46,1857100,6097800913942165,316,3599479,2550064,2551,2547513
106,Matthias Ginter,48,1669600,6668745751433090,271,3347383,756962,756962,0
107,Serge Gnabry,65,3379400,9120941117499510,580,6709932,1470992,148,1470844
108,Grimaldo,46,2869400,3126872035217040,346,4892271,929595,0,929595
109,Bruno Guimarães,49,1343600,5647440484707583,248,2870287,1342571,1343,1341228
110,Péter Gulácsi,64,4192100,7866798601048780,595,7540350,3708896,3709,3705187
111,Achraf Hakimi,49,1993500,7412070651190971,323,3899705,958749,0,958749
112,Fabinho,67,480700,9538324661594912,318,2698150,1328646,132865,1195781
113,Lucas Hernández,27,1981500,7019460175793459,205,2840604,470978,0,470978
114,Pierre-Emile Højbjerg,57,2834800,6756337933817645,462,5979087,5970313,0,5970313
115,Reece James,61,4413000,6586572953159834,611,8812285,1197708,1198,1196510
116,Kim Min Jae,51,1157300,5368023533629158,249,2758046,631864,632,631232
117,Randal Kolo Muani,36,4792700,4311993347219551,429,7468858,6701062,670107,6030955
118,Kalidou Koulibaly,31,801300,8372848506531735,128,1358193,268301,26831,241470
119,Marcos Llorente,69,4237000,4672533956633425,692,8543303,7890352,78904,7811448
120,Stanislav Lobotka,25,3047600,6566361521566595,280,4668556,3941448,395,3941053
121,Romelu Lukaku,53,4229900,8008340663426626,511,7529554,3234455,0,3234455
122,James Maddison,46,4064700,6778992522520341,447,6925687,4263909,427,4263482
123,Gabriel Martinelli,43,346900,4493584980278727,174,1348315,331044,0,331044
124,Lisandro Martínez,40,3065200,6194124122954928,369,5273530,270895,27090,243805
125,Mikel Merino,22,4332000,6056446195918659,370,5959491,1240765,1241,1239524
126,Thomas Müller,66,4561400,4996100581004733,629,9203174,3713540,0,3713540
127,Nick Pope,59,2108900,6244212744445499,352,4108905,3039408,0,3039408
128,Adrien Rabiot,46,2025800,7488463897225262,323,4103093,646361,0,646361
129,Aaron Ramsdale,69,811500,5306504597683042,326,3202158,2184802,0,2184802
130,Álex Remiro,59,463500,4408409964217568,282,2178240,1767879,0,1767879
131,Koke,33,3002600,3753754937639017,300,4533560,3184644,0,3184644
132,Luis Alberto,32,2288900,4255349079407018,224,3117435,1276682,12767,1263915
133,Leroy Sané,63,4119600,6799395319755296,581,8248750,3774943,3774943,0
134,Bremer,50,485200,7564527921966199,215,1919341,1183820,1183820,0
135,Milan Škriniar,49,4524400,5791642491028754,549,7714186,1882493,189,1882304
136,Chris Smalling,61,4031100,9097949231193121,508,6982570,4422526,4422526,0
137,Yann Sommer,56,3167200,9143186860114399,439,5356300,3938493,0,3938493
138,Niklas Süle,48,3476000,4819163157070060,490,6616092,2660510,266051,2394459
139,Aurélien Tchouaméni,22,4992500,4372859451078278,368,7142349,2262109,22622,2239487
140,Fikayo Tomori,38,4578200,5321479560722300,418,6924484,4357607,4358,4353249
141,Kyle Walker,22,4990400,8394666741321770,378,7237723,6260275,6261,6254014
142,Francesco Acerbi,28,1698200,9520450129466275,186,2632179,1563649,1564,1562085
143,Jordi Alba,35,1325400,4491453732743654,216,2673353,2580627,259,2580368
144,Marco Asensio,50,2953600,3633687395851402,367,5210151,4078575,0,4078575
145,Wissam Ben Yedder,30,1730400,6849290807501100,168,2308563,625415,0,625415
146,Sven Botman,41,3468500,9478430408824799,396,6024333,4571719,4571719,0
147,Marcelo Brozović,30,1516700,9558131807776463,168,2426260,2390809,239081,2151728
148,Sergio Busquets,46,2708800,8889214918714613,325,4749703,2838573,0,2838573
149,Emre Can,26,1902100,8886370981808394,212,2870670,2407174,241,2406933
150,Andreas Christensen,24,2848900,8111867376112832,209,3859662,2914613,0,2914613
151,Sergi Darder,40,2345700,3007883527857917,299,4146993,309629,309629,0
152,Alphonso Davies,50,2918200,9626281718962923,345,5045735,569731,0,569731
153,Ángel Di María,47,1894300,4173530170970631,323,3843741,842610,843,841767
154,Edin Džeko,65,4127600,7474031206094167,520,7694013,4220529,422053,3798476
155,Christian Eriksen,53,2442900,9111185250798521,389,4919021,2687265,0,2687265
156,Nabil Fekir,28,747900,9272769654310301,77,927501,120040,121,119919
157,Enzo Fernández,24,768900,6418790956960730,85,1016703,52000,5200,46800
158,Nacho Fernández,67,2363200,5478059507490972,463,4910126,701470,7015,694455
159,Rafa,55,2764500,9123237396463327,454,5440156,5079760,0,5079760
160,Jorginho,54,2917100,3948898510626386,404,5613986,1593195,1593195,0
161,Pau Torres,26,4458300,6566872300157359,339,5778086,339923,0,339923
162,Jeremie Frimpong,25,1074300,9397668620200260,111,1534303,44185,4419,39766
163,Cody Gakpo,70,4015100,6454512251627919,619,7837877,699731,6998,692733
164,José María Giménez,64,3592700,5645957993794374,533,7172727,3436951,3437,3433514
165,Sébastien Haller,60,528900,5889448605130687,235,2037265,1076395,107640,968755
166,Jonas Hofmann,35,3361000,3739867832289971,337,5280198,3737616,3738,3733878
167,Mats Hummels,59,3269600,9550829519644346,480,6604280,4803243,48033,4755210
168,Borja Iglesias,29,2243300,4585168350663947,225,3362536,535642,5357,530285
169,Filip Kostić,44,4834100,5822889783749885,523,8296889,4216092,421610,3794482
170,Alexandre Lacazette,63,1487800,9162115928728603,351,3861571,2894645,2894645,0
171,Konrad Laimer,57,884000,6557766250174477,250,2349966,1840945,184095,1656850
172,Hugo Lloris,44,2962700,3206123115127637,347,4963110,2103225,0,2103225
173,Gianluca Mancini,22,2598600,8332602813813732,228,3635029,1285357,128536,1156821
174,Alex Meret,49,2032900,6014215023607157,299,3588995,3147438,31475,3115963
175,Morata,26,690700,4807059553339374,85,931933,464828,4649,460179
176,Gerard Moreno,64,1425500,6762365981217431,358,3828392,1734988,173499,1561489
177,Dani Olmo,60,4677100,3248774705965173,619,9206894,6202922,0,6202922
178,Willi Orban,54,2575600,7482764239600989,364,4641409,178372,179,178193
179,Oyarzabal,46,528300,3862887057151385,195,1669692,1626190,1626190,0
180,Gavi,63,3371800,9248994374616786,571,6985005,850433,8505,841928
181,Palhinha,43,2617500,6389871954750716,357,4855682,1043067,10431,1032636
182,Benjamin Pavard,28,1968400,8165848380140829,218,2999402,2875694,28757,2846937
183,Lorenzo Pellegrini,59,410700,8375864763078647,250,2119224,1767095,176710,1590385
184,Marco Reus,65,4270600,5621102975965569,622,7926912,3487150,349,3486801
185,Guido Rodríguez,64,3651900,4203737600931474,593,7855670,5030521,50306,4980215
186,Alessio Romagnoli,24,1909100,8512532259386318,190,2725226,935267,0,935267
187,William Saliba,64,4496800,8112511414166438,604,7844574,815818,816,815002
188,Patrik Schick,42,4094000,7264995856536263,417,6915758,5876760,5877,5870883
189,Nico Schlotterbeck,68,974100,3512346171048887,353,3278122,1534298,1534298,0
190,Luke Shaw,65,1761200,7692678265644721,399,4210030,695907,695907,0
191,Unai Simón,58,2454500,9701307998807672,433,5610994,4558480,4559,4553921
192,Raheem Sterling,42,490500,5469706767385408,143,1213596,887653,0,887653
193,Dušan Vlahović,60,4288600,6013199413476559,584,8296992,2072725,20728,2051997
194,André-Franck Zambo Anguissa,59,3960300,8624056911016746,580,7237955,6594727,0,6594727
195,Piotr Zieliński,42,4388600,4154008305481682,521,7390524,4912307,0,4912307
196,Manuel Akanji,65,2155200,9660680647594423,395,4569917,1138377,0,1138377
197,Robert Andrich,45,3385900,6621084239893037,394,5877465,4554487,0,4554487
198,Joelinton,47,1225300,8914458169719617,252,2732606,2553747,255375,2298372
199,Roberto Firmino,41,741600,5701748280568214,148,1354558,396555,0,396555
200,Rodrigo Bentancur,65,496600,6697040460021950,303,2620671,234015,23402,210613
201,Eduardo Camavinga,61,3511200,7697580431219852,499,6375153,4319078,4319078,0
202,Carvajal,24,2637600,7684355190986089,216,3823240,3063696,0,3063696
203,Ángel Correa,50,583400,9065843589477419,239,2000637,900897,900897,0
204,Ricardo Horta,52,4026300,9483521216072076,480,6314143,5712346,571235,5141111
205,Otávio,66,2791900,7274359832459683,529,6293471,4478462,0,4478462
206,Stefan de Vrij,58,2787600,8093190175032863,425,5212700,3936702,39368,3897334
207,Boulaye Dia,27,4440200,7421005119659749,415,6868802,390248,39025,351223
208,Federico Dimarco,58,2580600,7490346552996563,484,5866138,290280,29028,261252
209,Youssef En-Nesyri,48,4136200,7995182373119008,441,6401339,159116,0,159116
210,Mark Flekken,26,1378700,5416309465215323,157,2171770,619900,6199,613701
211,Seko Fofana,57,4428200,9874968369440314,542,7698657,7373326,0,7373326
212,Javi Galán,53,4055200,6950489225558054,529,7441908,7263591,726360,6537231
213,David García,35,3429400,3452813518720826,389,5737127,2617406,261741,2355665
214,Gayà,48,4704200,7479278229221139,524,7509508,6295844,630,6295214
215,Olivier Giroud,38,782800,3310355091107522,159,1560418,882657,8827,873830
216,Mario Götze,32,300900,5787735453892167,108,767869,414602,0,414602
217,Vincenzo Grifo,26,4847700,8643934871307707,471,7622881,2423141,0,2423141
218,Raphaël Guerreiro,41,594300,9241445123938727,169,1428129,205873,206,205667
219,Joško Gvardiol,65,3601600,3700155493616665,463,6709051,542682,543,542139
220,Kai Havertz,34,4713000,5658522412457494,450,6699303,810774,0,810774
221,Mario Hermoso,63,894300,3609804881275340,329,3201026,1072522,1073,1071449
222,Franck Yannick Kessié,46,3937800,5285015070758935,458,7087855,3749088,375,3748713
223,Presnel Kimpembe,50,3368400,9143833620361695,508,6993422,1912088,0,1912088
224,Orkun Kökçü,52,2204400,6844866819476678,325,3984653,1296485,1296485,0
225,Mateo Kovačić,23,2430700,4916607299235393,181,3283115,2425045,2426,2422619
226,Robin Le Normand,68,3594900,7831867638025341,542,6580612,4157118,4158,4152960
227,Jeremías Conan Ledesma,35,1086300,8774185953758910,172,1877572,1316916,1316916,0
228,Thomas Lemar,55,706500,8365290755661822,297,2489067,2156328,215633,1940695
229,Dominik Livaković,40,2117400,9154831834561445,236,3382805,2824775,2824775,0
230,Manuel Locatelli,47,4185900,5833093079555951,464,7311284,3200712,32008,3168704
231,Anthony Lopes,23,4942600,6018303920176756,370,6914000,2596599,2597,2594002
232,Alexis Mac Allister,62,2242600,4621121909161799,457,4754697,248348,249,248099
233,Donyell Malen,36,4301100,6851988484013021,456,6818023,5620121,0,5620121
234,Iñigo Martínez,26,2040500,9398420176104542,207,3181741,1147203,11473,1135730
235,Joselu,41,673900,8338452632393936,161,1577550,196713,196713,0
236,Noussair Mazraoui,58,1158000,5751699559492674,298,2918890,2233028,2233028,0
237,Diogo Costa,64,3634000,5743024848426241,565,7196822,6259454,62595,6196859
238,Édouard Mendy,36,1399000,7938710096818333,199,2537307,537047,53705,483342
239,Ferland Mendy,65,4162500,9825162365547819,616,8527039,3289033,328904,2960129
240,Nahuel Molina,58,1405300,5306860275904291,343,3695092,2059641,2059641,0
241,João Mário,70,2358700,5016935559447624,504,5627423,4579788,4579788,0
242,Darwin Núñez,68,2955400,4550737675275517,571,6481257,948055,9481,938574
243,Loïs Openda,30,2769300,3033379411826902,248,3874192,89199,0,89199
244,Nicolás Otamendi,61,3801600,6104071396793517,497,6334255,2742011,0,2742011
245,Isi Palazón,69,3874300,6911990404768475,626,8026482,7206293,72063,7134230
246,Pedro Gonçalves,49,1428700,8258409222242163,226,2705016,2057989,20580,2037409
247,Jordan Pickford,26,2018600,5176502274621992,211,3041197,2682329,0,2682329
248,Ivan Provedel,52,2476600,9140282038191701,384,4784787,2369145,0,2369145
249,Fernando,51,3448500,3221419453820396,450,6398512,3376409,0,3376409
250,Cristian Romero,55,1346700,6517934163248163,305,3169825,1574783,1574783,0
251,Jadon Sancho,61,2202600,6362185647774656,433,5078284,3217058,0,3217058
252,Stefan Savić,68,1766300,7781272382605537,386,4028936,2425883,0,2425883
253,Fabian Schär,22,2676800,8420812594366841,196,3370194,1265722,127,1265595
254,Dominik Szoboszlai,26,1598200,8186050702955416,144,2247860,1812281,1813,1810468
255,Dušan Tadić,59,3195700,7483494407354475,533,6651698,1953838,1954,1951884
256,Mehdi Taremi,48,4173400,5578455768429375,501,7206905,2824364,28244,2796120
257,Nuno Mendes,63,4621500,7827306528543220,555,7968128,1781685,17817,1763868
258,Youri Tielemans,69,3213300,7662671129182537,591,7333833,4287955,0,4287955
259,Lucas Torreira,68,3359200,3056934349296047,521,6748485,6569833,6570,6563263
260,Ferran Torres,27,355100,9948537400000593,80,626400,485479,48548,436931
261,Viktor Tsygankov,25,4979600,7436887906999330,420,6915572,5514434,5515,5508919
262,Enes Ünal,67,4698300,6897319802140677,620,8650904,4776120,477612,4298508
263,Dayot Upamecano,37,4073600,3470634300301152,460,7101269,1216320,1216320,0
264,Guglielmo Vicario,22,2661200,4384807114891218,182,3389631,707013,707013,0
265,Timo Werner,28,1756400,8770761571623536,146,2391188,1612021,1612021,0
266,Callum Wilson,38,2340900,6494905834380022,299,4029202,3768196,3768196,0
267,Granit Xhaka,55,3543000,3593773669858739,495,6528257,2823891,283,2823608
268,Mattia Zaccagni,42,986200,8741617311484866,203,2046084,853098,853098,0
269,Nathan Aké,61,4535900,4805663490264357,623,8337820,5014408,5014408,0
270,Ali Al Musrati,44,3100500,5335922100311318,350,4712286,1297223,0,1297223
271,Raúl Albiol,44,438400,4327413434214267,151,1257843,424240,0,424240
272,Toby Alderweireld,36,1894800,9803287817163920,219,3312975,1208265,0,1208265
273,Miguel Almirón,46,4074000,5550474540595700,456,6824661,5634142,56342,5577800
274,Edson Álvarez,55,4796400,6092419937987987,568,8272311,2831020,284,2830736
275,Yeray,25,969700,8994460222483205,91,1239287,134454,134454,0
276,Maximilian Arnold,50,2601900,3208833303495130,357,4935622,212001,212001,0
277,Kepa,36,468200,8692972351145508,125,1084845,255901,25591,230310
278,Balde,69,2798600,9475532440387780,482,6126600,1876306,1876306,0
279,Steven Berghuis,60,3345200,9916906948084899,459,5695716,1895381,189539,1705842
280,Benjamin Bourigeaud,62,1174200,4959040935095998,336,3593224,1230810,1231,1229579
281,Davide Calabria,66,4762900,4024468941378488,607,8273864,4276095,4277,4271818
282,Etienne Capoue,41,2363100,4002642539162146,305,4210656,2402765,240277,2162488
283,Ben Chilwell,27,1305200,6707198245107224,126,1780177,529078,52908,476170
284,Samuel Chukwueze,62,450100,8862749615761562,311,2583038,405107,0,405107
285,Jonathan Clauss,45,2407600,3793496968517919,344,4776015,66938,670,66268
286,Sebastián Coates,36,3317300,6805666458418044,337,5230960,2381537,239,2381298
287,Lucas Paquetá,37,2305100,3350185160010307,286,3871490,1341739,135,1341604
288,Bryan Cristante,49,4900000,8012757446167607,498,8149046,4119844,4120,4115724
289,Danilo,64,3949500,9794559819991126,602,7867085,574028,5741,568287
290,Arnaut Danjuma,70,4030800,3232663027659376,600,7941376,4817371,4817371,0
291,Rui Silva,28,1103500,7915832834004037,117,1486707,72993,730,72263
292,Jonathan David,30,4872300,9795998602529787,429,7193284,4374250,0,4374250
293,Fred,44,4714100,4763951248737612,503,7774961,1090094,1090094,0
294,Rui Patrício,45,1385900,8642758994028030,260,2761665,1743998,174400,1569598
295,Denzel Dumfries,65,4158500,6111450557704065,559,7687609,5998563,0,5998563
296,Lewis Dunk,39,4358800,8563716036017430,495,7395595,6456963,0,6456963
297,João Félix,69,4114200,3690412296020470,612,8056293,7482123,0,7482123
298,Beto,59,3381900,9350534606565367,463,6020730,1083038,109,1082929
299,Nicolás González,49,1801100,6813410117886063,289,3627450,1125674,112568,1013106
300,Danilo Pereira,37,2551500,3793423195784414,287,3965023,1422618,143,1422475
301,Lukáš Hrádecký,39,3136300,4047086520880338,343,5202558,2687823,0,2687823
302,Lorenzo Insigne,57,4943600,9458739100919679,618,8677715,7136417,0,7136417
303,Alexander Isak,29,2371000,3374606216123440,220,3664484,1637498,16375,1621123
304,Daichi Kamada,36,2425500,9049597624885794,275,3919524,1059472,1059472,0
305,Simon Kjær,67,2945900,7881174853422932,514,6601766,2292277,229228,2063049
306,Ibrahima Konaté,56,2182000,8611366399671552,383,4347667,3051505,306,3051199
307,Geoffrey Kondogbia,36,4851800,9626492885308415,515,7743199,5532965,0,5532965
308,Andrej Kramarić,49,2137600,7432012410138181,304,3824976,1509066,151,1508915
309,Dejan Kulusevski,28,2469800,8965717158351457,196,3486751,1267689,1267689,0
310,Gaëtan Laborde,66,3404100,4019569583968317,567,7352621,4120497,412050,3708447
311,Bernd Leno,50,4065000,7097015764236768,479,6790915,2486963,248697,2238266
312,Pepe,43,4280000,9756050300130755,474,6583366,6090324,609033,5481291
313,Giovani Lo Celso,47,818200,6997706320083926,206,2070611,168969,169,168800
314,Ademola Lookman,39,757500,6809377845462196,158,1617695,467000,467,466533
315,Hirving Lozano,67,1462000,7403892892960104,389,3839012,2904220,2905,2901315
316,Reinildo,46,1273500,4314372950911184,205,2410109,758937,0,758937
317,Antony,63,1494300,5858673999963817,327,3731465,148561,148561,0
318,Nemanja Matić,46,1193200,3048810059428151,276,2871430,1431148,1432,1429716
319,Brais Méndez,69,1622900,6387919340896594,407,4435986,2178094,218,2177876
320,Dries Mertens,22,4508000,9147117662099098,334,6039277,4666684,4666684,0
321,Arkadiusz Milik,32,2940200,5197134959271239,276,4120521,985683,985683,0
322,Henrikh Mkhitaryan,37,1969300,3512490808950037,246,3533769,1197241,11973,1185268
323,Mason Mount,41,1888800,5657829566656838,255,3305281,2540210,2540210,0
324,Muniain,32,4042300,4859384316613050,361,6162443,1374900,137490,1237410
325,Guillermo Ochoa,30,450100,9388052803656291,95,752646,333928,3340,330588
326,Felipe Anderson,70,2196600,3008352346267767,503,5438239,560296,56030,504266
327,Matteo Politano,32,740800,4918543320676355,130,1404347,903865,903865,0
328,Pedro Porro,59,1928700,3825904338004385,404,4689656,1337254,13373,1323881
329,Ivan Rakitić,61,941200,8947810295458526,342,3216673,2032852,2033,2030819
330,Amir Rrahmani,55,1247300,6536726940220422,323,3157269,461597,0,461597
331,Fabián Ruiz,26,974500,5498922340775602,101,1260224,55004,0,55004
332,Gerónimo Rulli,42,755100,9597065330226650,177,1726114,793719,0,793719
333,Allan Saint-Maximin,69,2836000,8132530238483325,472,5491486,3117921,3117921,0
334,Brice Samba,37,4625300,4620386418257569,410,6972372,6005101,601,6004500
335,Sancet,68,330300,8349040563853991,326,2641296,2207718,0,2207718
336,Ibrahim Sangaré,53,1552900,9108965921505491,300,3268495,2225239,2225239,0
337,Diego Carlos,29,4021800,9833380981338492,365,5815239,2268137,2269,2265868
338,Xaver Schlager,25,453100,4834764600854626,44,392991,1906,1906,0
339,Kasper Schmeichel,40,772200,4481512947938711,163,1556816,731304,0,731304
340,William Carvalho,28,2508700,9084436068896514,204,3205443,1097289,1097289,0
341,Malcom,61,2868600,4278548394796902,446,5498339,1018014,10181,1007833
342,Mário Rui,39,1034400,5407729697943806,181,1983506,1912767,191277,1721490
343,Ellyes Skhiri,48,1074300,7621679341605130,261,2656239,944101,9442,934659
344,Anderson Talisca,45,4951700,7566097529577557,551,7417000,804569,0,804569
345,Jonathan Tah,32,3711500,4160611711625971,335,5206856,1670748,167075,1503673
346,Edmond Tapsoba,58,709000,5239271148096715,281,2481279,926919,92692,834227
347,Martin Terrier,30,3197600,4960034836695664,305,5112420,4820623,4820623,0
348,Leandro Trossard,50,839000,4335859967910082,230,2126747,1561812,1561812,0
349,Manuel Ugarte,25,1589400,3946243943259346,160,2232565,1488696,0,1488696
350,Lucas Vázquez,65,1461300,6454025435755845,324,3638676,3265069,3266,3261803
351,Odisseas Vlachodimos,66,2571300,7487308436015133,464,5841850,1971185,1971185,0
